label,gloss,participant,video_file,split
WHO,WHO,P7,044977332478077336-WHO.mp4,train
UNDERSTAND,UNDERSTAND,P7,6593382490905721-UNDERSTAND.mp4,train
BYE,BYE,P37,5723102083146778-BYE.mp4,train
WATER,WATER,P51,7276443456531434-WATER.mp4,train
BATHROOM,BATHROOM,P51,03197771323074128-BATHROOM.mp4,train
NAME,NAME,P7,20739960328931106-NAME.mp4,train
PAIN,PAIN,P7,653467965832647-PAIN.mp4,train
WHY,WHY,P7,41986547104124017-WHY.mp4,train
HELLO,HELLO,P7,7613696736100914-HELLO.mp4,train
HURT,HURT,P7,7487799802593937-HURT.mp4,train
HOW,HOW1,P7,948548155363955-HOW.mp4,train
DEAF,DEAF1,P7,4153430361974173-DEAF.mp4,train
HOW,HOW1,P37,22306165813631562-HOW.mp4,train
DEAF,DEAF1,P37,9899511825675291-DEAF.mp4,train
HOW,HOW2,P37,540755360226808-HOW 2.mp4,train
INTERPRETER,INTERPRETER,P37,3921287402137754-INTERPRETER.mp4,train
STOP,STOP,P37,6529230226346452-STOP.mp4,train
WHAT,WHAT1,P37,2833503746558905-WHAT 2.mp4,train
WHAT,WHAT2,P37,5156462562582522-WHAT 1.mp4,train
YES,YES,P37,8699610978899361-YES.mp4,train
STOP,STOP,P14,6679488064816475-STOP.mp4,train
WHAT,WHAT1,P14,0628291186114378-WHAT 2.mp4,train
WHAT,WHAT2,P14,8444961450629924-WHAT 1.mp4,train
YES,YES,P14,38970444942928073-YES.mp4,train
HELP,HELP,P14,4206186890939383-HELP.mp4,train
EAT,EAT1,P14,5847293981432022-EAT.mp4,train
DEAF,DEAF1,P14,41048138699229675-DEAF.mp4,train
DEAF,DEAF1,P36,6898724827814644-DEAF.mp4,train
NO,NO,P36,3919396171653571-NO.mp4,train
BYE,BYE,P36,048776623388550044-BYE.mp4,train
DRINK,DRINK2,P38,27103389535111955-DRINK 2.mp4,train
DRINK,DRINK2,P43,42284981094391094-DRINK 2.mp4,train
WAIT,WAIT,P7,524881037999334-WAIT.mp4,train
INTERPRETER,INTERPRETER,P7,683566604486493-INTERPRETER.mp4,train
MORE,MORE,P36,8398312100057683-MORE.mp4,train
WHO,WHO,P36,18521627111046346-WHO.mp4,train
UNDERSTAND,UNDERSTAND,P36,6745834273988278-UNDERSTAND.mp4,train
NAME,NAME,P36,07550237967516482-NAME.mp4,train
PAIN,PAIN,P36,0061254309383598216-PAIN.mp4,train
WHY,WHY,P36,5236898172561582-WHY.mp4,train
HELLO,HELLO,P41,25802117645943423-HELLO.mp4,train
HURT,HURT,P2,916464465181106-HURT.mp4,train
THANKYOU,THANKYOU,P2,021145910536055412-THANK YOU.mp4,train
NO,NO,P2,7973429116215278-NO.mp4,train
DRINK,DRINK2,P16,972961297591985-DRINK 2.mp4,train
WAIT,WAIT,P16,8068498353201266-WAIT.mp4,train
WATER,WATER,P16,7176990560462237-WATER.mp4,train
HELP,HELP,P16,6967335705063062-HELP.mp4,train
EAT,EAT1,P16,8083635818179542-EAT.mp4,train
BATHROOM,BATHROOM,P16,6655667570633721-BATHROOM.mp4,train
EAT,EAT2,P16,7821457095653572-EAT 2.mp4,train
SORRY,SORRY,P16,46389552341659956-SORRY.mp4,train
HUNGRY,HUNGRY,P16,0036168932795541675-HUNGRY.mp4,train
PLEASE,PLEASE,P16,95072139344285-PLEASE.mp4,train
WHERE,WHERE,P16,7750734997528588-WHERE.mp4,train
DRINK,DRINK1,P16,2597508467759426-DRINK.mp4,train
SICK,SICK,P16,5954902678633454-SICK.mp4,train
MORE,MORE,P16,033095312435714064-MORE.mp4,train
WHO,WHO,P16,9816718901577759-WHO.mp4,train
UNDERSTAND,UNDERSTAND,P16,6810397598953175-UNDERSTAND.mp4,train
NAME,NAME,P16,45143019985078214-NAME.mp4,train
PAIN,PAIN,P16,23654051116994124-PAIN.mp4,train
WHY,WHY,P16,7317136659517625-WHY.mp4,train
HELLO,HELLO,P16,0755679379568106-HELLO.mp4,train
HURT,HURT,P16,834862039759457-HURT.mp4,train
DEAF,DEAF1,P16,5966497138153777-DEAF.mp4,train
THANKYOU,THANKYOU,P16,031705941185190545-THANK YOU.mp4,train
NO,NO,P16,2140134632834978-NO.mp4,train
BYE,BYE,P16,5974251648548923-BYE.mp4,train
INTERPRETER,INTERPRETER,P16,6413291064413598-INTERPRETER.mp4,train
HOW,HOW1,P16,03376426509046859-HOW.mp4,train
HOW,HOW1,P8,8370733641565598-HOW.mp4,train
DEAF,DEAF2,P16,20310148451590493-DEAF 2.mp4,train
HOW,HOW2,P16,174515932829846-HOW 2.mp4,train
STOP,STOP,P16,9586306157625994-STOP.mp4,train
WHAT,WHAT1,P16,21224944864749995-WHAT 2.mp4,train
WHAT,WHAT2,P16,8979365940146831-WHAT 1.mp4,train
HOW,HOW1,P45,021939327153324584-HOW.mp4,train
YES,YES,P46,9953610281521326-YES.mp4,train
YES,YES,P50,7199140986089654-YES.mp4,train
DRINK,DRINK2,P50,45011841193956603-DRINK 2.mp4,train
WATER,WATER,P50,6842760193004458-WATER.mp4,train
EAT,EAT1,P50,43234510854275543-EAT.mp4,train
HELP,HELP,P20,07603691172028904-HELP.mp4,train
BATHROOM,BATHROOM,P20,1183896210194797-BATHROOM.mp4,train
EAT,EAT2,P20,7042482718098351-EAT 2.mp4,train
SORRY,SORRY,P20,2413023602974027-SORRY.mp4,train
BATHROOM,BATHROOM,P50,9550424988054464-BATHROOM.mp4,train
HUNGRY,HUNGRY,P50,43016432877599997-HUNGRY.mp4,train
NO,NO,P50,6137110171725737-NO.mp4,train
DEAF,DEAF2,P50,4378089019640199-DEAF 2.mp4,train
HOW,HOW2,P50,639527032932734-HOW 2.mp4,train
STOP,STOP,P50,35024304836544506-STOP.mp4,train
WHAT,WHAT1,P50,5907336185978251-WHAT 2.mp4,train
WHAT,WHAT2,P50,6121961685498369-WHAT 1.mp4,train
WAIT,WAIT,P50,15263395462454632-WAIT.mp4,train
EAT,EAT2,P50,683562173601701-EAT 2.mp4,train
SORRY,SORRY,P50,5865603235099206-SORRY.mp4,train
PLEASE,PLEASE,P50,5305284657006966-PLEASE.mp4,train
WHERE,WHERE,P50,17354191997018575-WHERE.mp4,train
DRINK,DRINK1,P50,3150362992415996-DRINK.mp4,train
SICK,SICK,P50,2393498289810021-SICK.mp4,train
MORE,MORE,P50,48891811825038345-MORE.mp4,train
WHO,WHO,P50,5344192765643432-WHO.mp4,train
UNDERSTAND,UNDERSTAND,P50,4268222409175071-UNDERSTAND.mp4,train
NAME,NAME,P50,44454593042241-NAME.mp4,train
PAIN,PAIN,P50,8882527528736919-PAIN.mp4,train
WHY,WHY,P50,48459131285186974-WHY.mp4,train
HELLO,HELLO,P50,9008261925178431-HELLO.mp4,train
HURT,HURT,P50,5570536346951789-HURT.mp4,train
DEAF,DEAF1,P50,6965626273607881-DEAF.mp4,train
THANKYOU,THANKYOU,P50,0912245735671211-THANK YOU.mp4,train
INTERPRETER,INTERPRETER,P50,16545208268054457-INTERPRETER.mp4,train
WAIT,WAIT,P14,7743737332850424-WAIT.mp4,train
BYE,BYE,P50,9682333715513665-BYE.mp4,train
WATER,WATER,P14,03892908647294191-WATER.mp4,train
EAT,EAT2,P14,3000727886718244-EAT 2.mp4,train
SORRY,SORRY,P14,589235585874496-SORRY.mp4,train
HUNGRY,HUNGRY,P14,48783810292836627-HUNGRY.mp4,train
PLEASE,PLEASE,P14,5956139983741693-PLEASE.mp4,train
WHERE,WHERE,P14,6999394901611251-WHERE.mp4,train
DRINK,DRINK1,P14,9140450917748142-DRINK.mp4,train
THANKYOU,THANKYOU,P14,06476990357042611-THANK YOU.mp4,train
NO,NO,P14,370678413428154-NO.mp4,train
BYE,BYE,P14,7072634397394595-BYE.mp4,train
HOW,HOW1,P50,3119997663932217-HOW.mp4,train
EAT,EAT1,P50,6012215303497841-EAT.mp4,train
DEAF,DEAF1,P23,07152092969372692-DEAF.mp4,train
NO,NO,P23,5309657970849855-NO.mp4,train
INTERPRETER,INTERPRETER,P23,6078622581352742-INTERPRETER.mp4,train
DEAF,DEAF2,P23,310180956332871-DEAF 2.mp4,train
HOW,HOW2,P23,4491594387505147-HOW 2.mp4,train
STOP,STOP,P23,815577675920792-STOP.mp4,train
WHAT,WHAT1,P23,531692335723785-WHAT 2.mp4,train
WHAT,WHAT2,P23,6316119461023724-WHAT 1.mp4,train
YES,YES,P24,9009854854743657-YES.mp4,train
THANKYOU,THANKYOU,P27,6528064521146906-THANK YOU.mp4,train
THANKYOU,THANKYOU,P10,8487114823108493-THANK YOU.mp4,train
NO,NO,P27,9644130188424822-NO.mp4,train
BYE,BYE,P27,21550036390436733-BYE.mp4,train
WATER,WATER,P4,29650119146688847-WATER.mp4,train
HELP,HELP,P4,7616988400005291-HELP.mp4,train
EAT,EAT1,P4,1529448369800237-EAT.mp4,train
HUNGRY,HUNGRY,P4,25239341433776796-HUNGRY.mp4,train
SICK,SICK,P4,10206502257817629-SICK.mp4,train
MORE,MORE,P4,9858229995286099-MORE.mp4,train
HURT,HURT,P4,012220954143284501-HURT.mp4,train
STOP,STOP,P25,7606933944529259-STOP.mp4,train
WHAT,WHAT1,P30,8907945228853642-WHAT 2.mp4,train
WAIT,WAIT,P30,9783535742177485-WAIT.mp4,train
SORRY,SORRY,P29,1636390875008531-SORRY.mp4,train
HUNGRY,HUNGRY,P29,761313788407632-HUNGRY.mp4,train
SORRY,SORRY,P30,9287154847825414-SORRY.mp4,train
HUNGRY,HUNGRY,P30,08855148657093093-HUNGRY.mp4,train
PLEASE,PLEASE,P30,18053723532999788-PLEASE.mp4,train
WHERE,WHERE,P30,5589002661440625-WHERE.mp4,train
DRINK,DRINK1,P30,9757502559319415-DRINK.mp4,train
SICK,SICK,P30,346347810799994-SICK.mp4,train
MORE,MORE,P30,6684303463308252-MORE.mp4,train
WHO,WHO,P30,9311041997261886-WHO.mp4,train
UNDERSTAND,UNDERSTAND,P30,5190569218964376-UNDERSTAND.mp4,train
NAME,NAME,P30,8850902951414901-NAME.mp4,train
PAIN,PAIN,P30,9407855177746578-PAIN.mp4,train
WHY,WHY,P30,17485211510665932-WHY.mp4,train
HELLO,HELLO,P30,7597723277213178-HELLO.mp4,train
HURT,HURT,P30,4545920597656814-HURT.mp4,train
HOW,HOW1,P27,8190663704033752-HOW.mp4,train
DEAF,DEAF2,P27,16912580920764397-DEAF 2.mp4,train
HOW,HOW2,P27,7257805929367986-HOW 2.mp4,train
STOP,STOP,P31,1461467422069449-STOP.mp4,train
WHAT,WHAT1,P31,18362037497753203-WHAT 2.mp4,train
WHAT,WHAT2,P31,2868793159710059-WHAT 1.mp4,train
YES,YES,P31,709429051156695-YES.mp4,train
DRINK,DRINK2,P31,0992010599048676-DRINK 2.mp4,train
WAIT,WAIT,P31,6530795087181671-WAIT.mp4,train
WATER,WATER,P31,0020247732352038916-WATER.mp4,train
HELP,HELP,P31,1512241224851143-HELP.mp4,train
EAT,EAT1,P31,6460191084812579-EAT.mp4,train
HURT,HURT,P29,2609737790861999-HURT.mp4,train
DEAF,DEAF1,P29,42295410903451014-DEAF.mp4,train
NO,NO,P29,9616432008129339-NO.mp4,train
BYE,BYE,P29,4327026387490418-BYE.mp4,train
INTERPRETER,INTERPRETER,P29,41957236705659606-INTERPRETER.mp4,train
HOW,HOW1,P31,8268472142479768-HOW.mp4,train
DEAF,DEAF2,P31,3021457153593794-DEAF 2.mp4,train
HOW,HOW2,P31,9421879642468542-HOW 2.mp4,train
STOP,STOP,P27,08870380386555654-STOP.mp4,train
WHAT,WHAT1,P27,1532464203763655-WHAT 2.mp4,train
WHAT,WHAT2,P27,9648437167288393-WHAT 1.mp4,train
WATER,WATER,P30,057571220614212715-WATER.mp4,train
HELP,HELP,P30,5574926687456125-HELP.mp4,train
EAT,EAT1,P30,5739215722518052-EAT.mp4,train
BATHROOM,BATHROOM,P29,11874088368813918-BATHROOM.mp4,train
EAT,EAT2,P29,6816148658875862-EAT 2.mp4,train
BATHROOM,BATHROOM,P31,8654983846054765-BATHROOM.mp4,train
EAT,EAT2,P31,5290075047843825-EAT 2.mp4,train
PLEASE,PLEASE,P31,9117047483562963-PLEASE.mp4,train
WHERE,WHERE,P31,9317687529080529-WHERE.mp4,train
DRINK,DRINK1,P31,03800598663017607-DRINK.mp4,train
SICK,SICK,P31,239829373517368-SICK.mp4,train
MORE,MORE,P31,7213248453404937-MORE.mp4,train
WHO,WHO,P31,8661268196723311-WHO.mp4,train
UNDERSTAND,UNDERSTAND,P31,0497069696398067-UNDERSTAND.mp4,train
NAME,NAME,P31,7743830371689544-NAME.mp4,train
PAIN,PAIN,P31,2531134404714388-PAIN.mp4,train
WHY,WHY,P31,10953401131792706-WHY.mp4,train
HELLO,HELLO,P31,11225598264242453-HELLO.mp4,train
DEAF,DEAF1,P31,055902509113725074-DEAF.mp4,train
PLEASE,PLEASE,P29,8801721942460268-PLEASE.mp4,train
WHERE,WHERE,P29,5985508360496106-WHERE.mp4,train
DRINK,DRINK1,P29,9957580073891368-DRINK.mp4,train
SICK,SICK,P29,06509213312274453-SICK.mp4,train
NO,NO,P31,01379619951634381-NO.mp4,train
MORE,MORE,P29,8116309886717166-MORE.mp4,train
WHO,WHO,P29,6013608694688473-WHO.mp4,train
UNDERSTAND,UNDERSTAND,P29,6424637597161564-UNDERSTAND.mp4,train
BYE,BYE,P31,516342335411355-BYE.mp4,train
NAME,NAME,P29,5949494391929417-NAME.mp4,train
PAIN,PAIN,P29,11941328359061032-PAIN.mp4,train
WHY,WHY,P29,2565336440424879-WHY.mp4,train
HELLO,HELLO,P29,1340650432799635-HELLO.mp4,train
INTERPRETER,INTERPRETER,P31,060176274185742784-INTERPRETER.mp4,train
INTERPRETER,INTERPRETER,P27,5828146321580936-INTERPRETER.mp4,train
SORRY,SORRY,P31,675487631009581-SORRY.mp4,train
HUNGRY,HUNGRY,P31,01552866889314064-HUNGRY.mp4,train
THANKYOU,THANKYOU,P31,274897834577152-THANK YOU.mp4,train
INTERPRETER,INTERPRETER,P31,7988379966512122-INTERPRETER.mp4,train
HOW,HOW1,P29,4657020083869885-HOW.mp4,train
STOP,STOP,P33,6922819981617203-STOP.mp4,train
WHAT,WHAT1,P33,600407709572452-WHAT 2.mp4,train
WHAT,WHAT2,P33,028829908292230533-WHAT 1.mp4,train
YES,YES,P33,050364485120873326-YES.mp4,train
DRINK,DRINK2,P33,18972692322051077-DRINK 2.mp4,train
WAIT,WAIT,P33,25762006967045403-WAIT.mp4,train
WATER,WATER,P33,19062537109661482-WATER.mp4,train
HELP,HELP,P33,15046472702938374-HELP.mp4,train
EAT,EAT1,P33,31477726769914227-EAT.mp4,train
HURT,HURT,P33,8680091165143533-HURT.mp4,train
DEAF,DEAF1,P33,942544967818546-DEAF.mp4,train
DEAF,DEAF2,P29,1706696537277308-DEAF 2.mp4,train
HOW,HOW2,P29,31724875643038497-HOW 2.mp4,train
BYE,BYE,P33,374824970052654-BYE.mp4,train
HOW,HOW1,P33,6445699135022072-HOW.mp4,train
BATHROOM,BATHROOM,P33,2047466313235069-BATHROOM.mp4,train
EAT,EAT2,P33,10224745501869581-EAT 2.mp4,train
SORRY,SORRY,P33,7662883760067802-SORRY.mp4,train
HUNGRY,HUNGRY,P33,3850535672895874-HUNGRY.mp4,train
PLEASE,PLEASE,P33,44272136216354463-PLEASE.mp4,train
WHERE,WHERE,P33,32552115561898876-WHERE.mp4,train
DRINK,DRINK1,P33,21577690984159714-DRINK.mp4,train
SICK,SICK,P33,6022729155127093-SICK.mp4,train
MORE,MORE,P33,7455948118093856-MORE.mp4,train
WHO,WHO,P33,05073186101305538-WHO.mp4,train
UNDERSTAND,UNDERSTAND,P33,8604241021179426-UNDERSTAND.mp4,train
NAME,NAME,P33,68008701658875-NAME.mp4,train
PAIN,PAIN,P33,9177378686473288-PAIN.mp4,train
WHY,WHY,P33,28913897920899023-WHY.mp4,train
HELLO,HELLO,P33,8841964348021558-HELLO.mp4,train
THANKYOU,THANKYOU,P33,39425766670939555-THANK YOU.mp4,train
NO,NO,P33,7932042062420475-NO.mp4,train
STOP,STOP,P29,787967286498557-STOP.mp4,train
WHAT,WHAT1,P29,23051551564122996-WHAT 2.mp4,train
WHAT,WHAT2,P29,873585487906021-WHAT 1.mp4,train
YES,YES,P29,15689453699180178-YES.mp4,train
DRINK,DRINK2,P29,20468755034347463-DRINK 2.mp4,train
DEAF,DEAF2,P33,907697426338528-DEAF 2.mp4,train
HOW,HOW2,P33,6496045691880019-HOW 2.mp4,train
HELP,HELP,P29,3557945550706938-HELP.mp4,train
EAT,EAT1,P29,7468673870660452-EAT.mp4,train
INTERPRETER,INTERPRETER,P33,6791230255732652-INTERPRETER.mp4,train
BYE,BYE,P33,9729998715398667-BYE.mp4,train
HOW,HOW1,P11,2861187051971712-HOW.mp4,train
STOP,STOP,P11,12188061798454708-STOP.mp4,train
WHAT,WHAT1,P11,8017117058905951-WHAT 2.mp4,train
WHAT,WHAT2,P11,9731388047096738-WHAT 1.mp4,train
WAIT,WAIT,P29,72369024028368-WAIT.mp4,train
WATER,WATER,P29,6099837370552477-WATER.mp4,train
THANKYOU,THANKYOU,P29,5932207271660643-THANK YOU.mp4,train
HOW,HOW1,P29,21283972047425892-HOW.mp4,train
HOW,HOW1,P51,1334132333742275-HOW.mp4,train
YES,YES,P29,9092689562509508-YES.mp4,train
DRINK,DRINK2,P29,6370983911545496-DRINK 2.mp4,train
HELP,HELP,P29,9483688560737478-HELP.mp4,train
EAT,EAT1,P29,8267242257825924-EAT.mp4,train
BATHROOM,BATHROOM,P11,3206219042409797-BATHROOM.mp4,train
EAT,EAT2,P11,9933444469916732-EAT 2.mp4,train
SORRY,SORRY,P11,6284344362350516-SORRY.mp4,train
HUNGRY,HUNGRY,P11,30359172301114734-HUNGRY.mp4,train
PLEASE,PLEASE,P11,43778843855311433-PLEASE.mp4,train
WHERE,WHERE,P11,37418457822538387-WHERE.mp4,train
DRINK,DRINK1,P11,980212048263337-DRINK.mp4,train
SICK,SICK,P11,6714893583747881-SICK.mp4,train
MORE,MORE,P11,05959007956304285-MORE.mp4,train
WHO,WHO,P11,0015092814988848513-WHO.mp4,train
UNDERSTAND,UNDERSTAND,P11,2621288608804102-UNDERSTAND.mp4,train
NAME,NAME,P11,4290157295522645-NAME.mp4,train
PAIN,PAIN,P11,7082903481857168-PAIN.mp4,train
WHY,WHY,P11,20564555475489255-WHY.mp4,train
HELLO,HELLO,P11,6448349493816601-HELLO.mp4,train
HURT,HURT,P11,39916997099175644-HURT.mp4,train
DEAF,DEAF1,P11,93340344109002-DEAF.mp4,train
NO,NO,P11,6901051427765104-NO.mp4,train
BYE,BYE,P11,6785992819227267-BYE.mp4,train
DEAF,DEAF2,P11,733342809835573-DEAF 2.mp4,train
HOW,HOW2,P11,48582056242680793-HOW 2.mp4,train
YES,YES,P11,15498675309554577-YES.mp4,train
DRINK,DRINK2,P11,27973404455034934-DRINK 2.mp4,train
WAIT,WAIT,P11,8270409786931296-WAIT.mp4,train
WATER,WATER,P11,40723216723050504-WATER.mp4,train
HELP,HELP,P11,8646796456836814-HELP.mp4,train
EAT,EAT1,P11,7327271470470507-EAT.mp4,train
THANKYOU,THANKYOU,P11,034197610787212396-THANK YOU.mp4,train
INTERPRETER,INTERPRETER,P11,47363878041045804-INTERPRETER.mp4,train
STOP,STOP,P11,21963390619756917-STOP.mp4,train
WHAT,WHAT1,P11,5384324732130294-WHAT 2.mp4,train
WHAT,WHAT2,P11,3288526883034957-WHAT 1.mp4,train
EAT,EAT2,P51,37437679515669386-EAT 2.mp4,train
SORRY,SORRY,P51,09933901999031058-SORRY.mp4,train
HUNGRY,HUNGRY,P51,3622473804574782-HUNGRY.mp4,train
HURT,HURT,P51,958666333331422-HURT.mp4,train
DEAF,DEAF1,P51,1672648144513147-DEAF.mp4,train
BATHROOM,BATHROOM,P30,06597464427845212-BATHROOM.mp4,train
NO,NO,P51,9979731168048327-NO.mp4,train
DEAF,DEAF2,P51,05057852158030385-DEAF 2.mp4,train
HOW,HOW2,P51,2815065509240542-HOW 2.mp4,train
DRINK,DRINK2,P27,6275909006677276-DRINK 2.mp4,train
WAIT,WAIT,P27,031074918450269218-WAIT.mp4,train
DRINK,DRINK2,P28,5545319318865305-DRINK 2.mp4,train
PLEASE,PLEASE,P51,6400788027798874-PLEASE.mp4,train
WHERE,WHERE,P51,09379414966671162-WHERE.mp4,train
DRINK,DRINK1,P51,6196253651803971-DRINK.mp4,train
SICK,SICK,P51,48675740621516783-SICK.mp4,train
MORE,MORE,P51,7267227999834953-MORE.mp4,train
WHO,WHO,P51,14452193915198386-WHO.mp4,train
UNDERSTAND,UNDERSTAND,P51,31049412762325446-UNDERSTAND.mp4,train
NAME,NAME,P51,7680995774148371-NAME.mp4,train
PAIN,PAIN,P51,09600688128321644-PAIN.mp4,train
WHY,WHY,P51,3866568461228612-WHY.mp4,train
HELLO,HELLO,P51,081380748015633-HELLO.mp4,train
THANKYOU,THANKYOU,P51,6912280773625425-THANK YOU.mp4,train
EAT,EAT2,P30,07556064610191737-EAT 2.mp4,train
SORRY,SORRY,P27,29761682879368934-SORRY.mp4,train
HUNGRY,HUNGRY,P27,47262000245136493-HUNGRY.mp4,train
WATER,WATER,P27,47911865396339715-WATER.mp4,train
EAT,EAT1,P27,30148795754394175-EAT.mp4,train
PLEASE,PLEASE,P27,9960146118001314-PLEASE.mp4,train
WHERE,WHERE,P27,8969965061622676-WHERE.mp4,train
DRINK,DRINK1,P27,5600935739224888-DRINK.mp4,train
SICK,SICK,P27,5994541369927644-SICK.mp4,train
MORE,MORE,P27,013724247293201763-MORE.mp4,train
HURT,HURT,P27,5833224752574873-HURT.mp4,train
DEAF,DEAF1,P27,33243997680017356-DEAF.mp4,train
YES,YES,P27,32941176670637984-YES.mp4,train
BATHROOM,BATHROOM,P27,33742973281851274-BATHROOM.mp4,train
EAT,EAT2,P27,7562678306866626-EAT 2.mp4,train
WHO,WHO,P27,21560081346679438-WHO.mp4,train
UNDERSTAND,UNDERSTAND,P27,030959011181703078-UNDERSTAND.mp4,train
NAME,NAME,P27,9851992475740963-NAME.mp4,train
PAIN,PAIN,P27,8956081644552207-PAIN.mp4,train
WHY,WHY,P27,9579391541087037-WHY.mp4,train
HELLO,HELLO,P27,5254351100197965-HELLO.mp4,train
BYE,BYE,P27,011053589241707185-BYE.mp4,train
