source,label,participant,clip,total_frames,hand_frames,hand_rate,duration_s,flat_frac,centroid_z,flags,npz
wlasl,NAME,WLASL_5,37587_4,74,26,0.351,2.47,1.0,0.13,"LOW_HAND_RATE,CORRUPT_FRAMES",train__NAME__WLASL_5__wlasl_37587_4.npz
aslcitizen,PAIN,P49,46245201069940745-PAIN,76,27,0.355,2.53,0.688,-0.01,"LOW_HAND_RATE,CORRUPT_FRAMES",test__PAIN__P49__46245201069940745-PAIN.npz
aslcitizen,WHO,P33,05073186101305538-WHO,138,49,0.355,4.54,0.0,3.46,"LOW_HAND_RATE,FAR_FROM_WORD",train__WHO__P33__05073186101305538-WHO.npz
aslcitizen,BYE,P37,5723102083146778-BYE,54,20,0.37,1.76,0.727,-0.94,"LOW_HAND_RATE,CORRUPT_FRAMES",train__BYE__P37__5723102083146778-BYE.npz
wlasl,WHERE,WLASL_70,63083_12,71,27,0.38,2.37,1.0,1.71,"LOW_HAND_RATE,CORRUPT_FRAMES",train__WHERE__WLASL_70__wlasl_63083_12.npz
wlasl,YES,WLASL_4,64283_23,21,8,0.381,0.88,1.0,-0.25,"LOW_HAND_RATE,CORRUPT_FRAMES",train__YES__WLASL_4__wlasl_64283_23.npz
aslcitizen,HELLO,P9,7472491282176557-HELLO,128,50,0.391,4.27,0.0,4.1,"LOW_HAND_RATE,FAR_FROM_WORD",test__HELLO__P9__7472491282176557-HELLO.npz
aslcitizen,HOW,P49,9380222416073931-HOW 2,35,14,0.4,2.33,1.0,-0.37,"LOW_HAND_RATE,CORRUPT_FRAMES",test__HOW__P49__9380222416073931-HOW 2.npz
aslcitizen,WHAT,P40,027816838285841916-WHAT 2,80,32,0.4,2.63,1.0,-0.25,"LOW_HAND_RATE,CORRUPT_FRAMES",train__WHAT__P40__027816838285841916-WHAT 2.npz
aslcitizen,HOW,P8,8370733641565598-HOW,78,32,0.41,2.6,0.625,-0.76,"LOW_HAND_RATE,CORRUPT_FRAMES",train__HOW__P8__8370733641565598-HOW.npz
wlasl,WHY,WLASL_36,63281_16,73,30,0.411,2.44,0.0,4.14,"LOW_HAND_RATE,FAR_FROM_WORD",train__WHY__WLASL_36__wlasl_63281_16.npz
aslcitizen,STOP,P49,6864058804402533-STOP,68,28,0.412,2.27,1.0,-0.38,"LOW_HAND_RATE,CORRUPT_FRAMES",test__STOP__P49__6864058804402533-STOP.npz
wlasl,DRINK,WLASL_52,17711_19,80,33,0.412,2.67,1.0,-0.14,"LOW_HAND_RATE,CORRUPT_FRAMES",train__DRINK__WLASL_52__wlasl_17711_19.npz
wlasl,DEAF,WLASL_121,70015_1,92,38,0.413,3.07,0.526,2.31,"LOW_HAND_RATE,CORRUPT_FRAMES",train__DEAF__WLASL_121__wlasl_70015_1.npz
aslcitizen,SICK,P9,5515681081506727-SICK,94,39,0.415,3.14,0.0,5.15,"LOW_HAND_RATE,FAR_FROM_WORD",test__SICK__P9__5515681081506727-SICK.npz
wlasl,THANKYOU,WLASL_46,57655_9,74,31,0.419,2.47,1.0,0.56,"LOW_HAND_RATE,CORRUPT_FRAMES",train__THANKYOU__WLASL_46__wlasl_57655_9.npz
aslcitizen,HELP,P49,3000270038189985-HELP,71,30,0.423,2.37,0.4,-0.27,"LOW_HAND_RATE,CORRUPT_FRAMES",test__HELP__P49__3000270038189985-HELP.npz
aslcitizen,STOP,P15,31921160795841863-STOP,164,70,0.427,5.47,0.0,4.53,"LOW_HAND_RATE,FAR_FROM_WORD",test__STOP__P15__31921160795841863-STOP.npz
wlasl,WHO,WLASL_4,63229_11,46,20,0.435,1.92,1.0,-0.7,"LOW_HAND_RATE,CORRUPT_FRAMES",train__WHO__WLASL_4__wlasl_63229_11.npz
wlasl,WAIT,WLASL_5,62109_16,99,44,0.444,3.3,1.0,0.16,"LOW_HAND_RATE,CORRUPT_FRAMES",train__WAIT__WLASL_5__wlasl_62109_16.npz
aslcitizen,WHAT,P49,9155674205578053-WHAT 2,65,29,0.446,2.17,0.385,-0.22,"LOW_HAND_RATE,CORRUPT_FRAMES",test__WHAT__P49__9155674205578053-WHAT 2.npz
aslcitizen,EAT,P20,7042482718098351-EAT 2,87,39,0.448,2.84,1.0,-0.51,"LOW_HAND_RATE,CORRUPT_FRAMES",train__EAT__P20__7042482718098351-EAT 2.npz
wlasl,BATHROOM,WLASL_5,58737_12,69,31,0.449,2.3,1.0,-0.61,"LOW_HAND_RATE,CORRUPT_FRAMES",train__BATHROOM__WLASL_5__wlasl_58737_12.npz
wlasl,EAT,WLASL_5,18332_11,69,31,0.449,2.3,1.0,1.26,"LOW_HAND_RATE,CORRUPT_FRAMES",train__EAT__WLASL_5__wlasl_18332_11.npz
wlasl,WHO,WLASL_59,63232_15,154,70,0.455,5.13,0.0,3.02,"LOW_HAND_RATE,FAR_FROM_WORD",train__WHO__WLASL_59__wlasl_63232_15.npz
aslcitizen,STOP,P40,07893366237759558-STOP,74,34,0.459,2.43,1.0,-0.54,"LOW_HAND_RATE,CORRUPT_FRAMES",train__STOP__P40__07893366237759558-STOP.npz
wlasl,WHY,WLASL_4,63284_4,52,24,0.462,2.17,1.0,0.49,"LOW_HAND_RATE,CORRUPT_FRAMES",train__WHY__WLASL_4__wlasl_63284_4.npz
aslcitizen,WHY,P49,09164331443344143-WHY,28,13,0.464,1.87,0.667,0.02,"LOW_HAND_RATE,CORRUPT_FRAMES",test__WHY__P49__09164331443344143-WHY.npz
aslcitizen,HOW,P9,6119825081396184-HOW,86,40,0.465,2.87,0.0,6.04,"LOW_HAND_RATE,FAR_FROM_WORD",test__HOW__P9__6119825081396184-HOW.npz
aslcitizen,WHERE,P17,03717365663139738-WHERE,58,27,0.466,1.94,0.0,3.72,"LOW_HAND_RATE,FAR_FROM_WORD",test__WHERE__P17__03717365663139738-WHERE.npz
aslcitizen,WATER,P49,28568822555970064-WATER,64,30,0.469,2.13,0.615,0.13,"LOW_HAND_RATE,CORRUPT_FRAMES",test__WATER__P49__28568822555970064-WATER.npz
wlasl,SICK,WLASL_60,51503_7,91,43,0.473,3.04,1.0,0.33,"LOW_HAND_RATE,CORRUPT_FRAMES",train__SICK__WLASL_60__wlasl_51503_7.npz
wlasl,BATHROOM,WLASL_52,05299_1,84,40,0.476,2.8,1.0,-0.34,"LOW_HAND_RATE,CORRUPT_FRAMES",train__BATHROOM__WLASL_52__wlasl_05299_1.npz
wlasl,BATHROOM,WLASL_52,58733_8,84,40,0.476,2.8,1.0,-0.34,"LOW_HAND_RATE,CORRUPT_FRAMES",train__BATHROOM__WLASL_52__wlasl_58733_8.npz
wlasl,WAIT,WLASL_5,62111_18,67,32,0.478,2.24,1.0,-0.23,"LOW_HAND_RATE,CORRUPT_FRAMES",train__WAIT__WLASL_5__wlasl_62111_18.npz
aslcitizen,WHY,P26,38099175964004983-WHY,67,32,0.478,2.24,0.0,4.72,"LOW_HAND_RATE,FAR_FROM_WORD",val__WHY__P26__38099175964004983-WHY.npz
aslcitizen,HOW,P49,5979307187574394-HOW,72,35,0.486,2.4,0.333,-0.18,"LOW_HAND_RATE,CORRUPT_FRAMES",test__HOW__P49__5979307187574394-HOW.npz
aslcitizen,DEAF,P31,3021457153593794-DEAF 2,70,34,0.486,2.34,0.0,3.61,"LOW_HAND_RATE,FAR_FROM_WORD",train__DEAF__P31__3021457153593794-DEAF 2.npz
aslcitizen,WAIT,P49,7613568684951131-WAIT,39,19,0.487,2.6,0.375,0.13,"LOW_HAND_RATE,CORRUPT_FRAMES",test__WAIT__P49__7613568684951131-WAIT.npz
wlasl,HURT,WLASL_60,28441_2,78,38,0.487,2.6,1.0,-0.92,"LOW_HAND_RATE,CORRUPT_FRAMES",train__HURT__WLASL_60__wlasl_28441_2.npz
aslcitizen,SORRY,P20,2413023602974027-SORRY,88,43,0.489,2.94,1.0,1.39,"LOW_HAND_RATE,CORRUPT_FRAMES",train__SORRY__P20__2413023602974027-SORRY.npz
aslcitizen,HUNGRY,P9,5745630297695972-HUNGRY,157,77,0.49,5.25,0.0,3.61,"LOW_HAND_RATE,FAR_FROM_WORD",test__HUNGRY__P9__5745630297695972-HUNGRY.npz
aslcitizen,MORE,P7,19756865098292908-MORE,83,41,0.494,2.73,0.0,4.69,"LOW_HAND_RATE,FAR_FROM_WORD",train__MORE__P7__19756865098292908-MORE.npz
aslcitizen,DRINK,P9,715190503593329-DRINK 2,101,50,0.495,3.33,0.0,5.4,"LOW_HAND_RATE,FAR_FROM_WORD",test__DRINK__P9__715190503593329-DRINK 2.npz
wlasl,PLEASE,WLASL_3,43218_8,64,38,0.594,2.14,1.0,3.3,"CORRUPT_FRAMES,FAR_FROM_WORD",train__PLEASE__WLASL_3__wlasl_43218_8.npz
wlasl,DRINK,WLASL_5,17730_13,81,49,0.605,2.7,1.0,10.18,"CORRUPT_FRAMES,FAR_FROM_WORD",train__DRINK__WLASL_5__wlasl_17730_13.npz
wlasl,NO,WLASL_3,38527_12,45,30,0.667,1.5,1.0,4.04,"CORRUPT_FRAMES,FAR_FROM_WORD",train__NO__WLASL_3__wlasl_38527_12.npz
wlasl,DRINK,WLASL_5,17729_12,71,49,0.69,2.37,1.0,6.78,"CORRUPT_FRAMES,FAR_FROM_WORD",train__DRINK__WLASL_5__wlasl_17729_12.npz
wlasl,MORE,WLASL_5,36838_10,110,94,0.855,3.67,1.0,6.85,"CORRUPT_FRAMES,FAR_FROM_WORD",train__MORE__WLASL_5__wlasl_36838_10.npz
wlasl,SORRY,WLASL_9,53363_0,70,70,1.0,2.8,1.0,5.87,"CORRUPT_FRAMES,FAR_FROM_WORD",train__SORRY__WLASL_9__wlasl_53363_0.npz
wlasl,UNDERSTAND,WLASL_9,60543_0,43,43,1.0,1.72,1.0,4.52,"CORRUPT_FRAMES,FAR_FROM_WORD",train__UNDERSTAND__WLASL_9__wlasl_60543_0.npz
aslcitizen,BATHROOM,P48,9571056160406306-BATHROOM,80,2,0.025,2.67,0.0,-0.27,LOW_HAND_RATE,test__BATHROOM__P48__9571056160406306-BATHROOM.npz
aslcitizen,STOP,P18,38330302294288865-STOP,70,3,0.043,2.8,0.071,0.02,LOW_HAND_RATE,test__STOP__P18__38330302294288865-STOP.npz
wlasl,UNDERSTAND,WLASL_56,60545_6,100,5,0.05,3.34,0.0,-0.44,LOW_HAND_RATE,train__UNDERSTAND__WLASL_56__wlasl_60545_6.npz
aslcitizen,WHERE,P14,6999394901611251-WHERE,57,3,0.053,1.9,0.0,-0.33,LOW_HAND_RATE,train__WHERE__P14__6999394901611251-WHERE.npz
aslcitizen,WHO,P31,8661268196723311-WHO,71,4,0.056,2.37,0.0,0.45,LOW_HAND_RATE,train__WHO__P31__8661268196723311-WHO.npz
aslcitizen,PAIN,P42,3339574581172313-PAIN,48,3,0.062,1.56,0.0,0.57,LOW_HAND_RATE,test__PAIN__P42__3339574581172313-PAIN.npz
aslcitizen,WHY,P42,6392085873567048-WHY,62,4,0.065,2.03,0.077,-0.72,LOW_HAND_RATE,test__WHY__P42__6392085873567048-WHY.npz
aslcitizen,WHY,P18,2952311704357522-WHY,60,4,0.067,2.4,0.0,-0.2,LOW_HAND_RATE,test__WHY__P18__2952311704357522-WHY.npz
aslcitizen,STOP,P14,6679488064816475-STOP,59,4,0.068,1.94,0.0,0.03,LOW_HAND_RATE,train__STOP__P14__6679488064816475-STOP.npz
aslcitizen,DRINK,P7,9694895312894787-DRINK,122,12,0.098,4.64,0.16,-0.63,LOW_HAND_RATE,train__DRINK__P7__9694895312894787-DRINK.npz
aslcitizen,HUNGRY,P7,3031010038877062-HUNGRY,61,6,0.098,1.99,0.0,-0.08,LOW_HAND_RATE,train__HUNGRY__P7__3031010038877062-HUNGRY.npz
aslcitizen,DRINK,P28,5545319318865305-DRINK 2,96,10,0.104,3.2,0.0,-0.51,LOW_HAND_RATE,train__DRINK__P28__5545319318865305-DRINK 2.npz
aslcitizen,HELLO,P39,16493550450776628-HELLO,121,14,0.116,4.03,0.0,1.97,LOW_HAND_RATE,val__HELLO__P39__16493550450776628-HELLO.npz
aslcitizen,HURT,P2,916464465181106-HURT,116,14,0.121,3.87,0.0,0.05,LOW_HAND_RATE,train__HURT__P2__916464465181106-HURT.npz
aslcitizen,WHERE,P7,7968041209479837-WHERE,158,20,0.127,5.27,0.0,-0.91,LOW_HAND_RATE,train__WHERE__P7__7968041209479837-WHERE.npz
aslcitizen,EAT,P17,15451191030465905-EAT 2,109,14,0.128,3.78,0.0,0.07,LOW_HAND_RATE,test__EAT__P17__15451191030465905-EAT 2.npz
aslcitizen,DRINK,P29,9957580073891368-DRINK,53,7,0.132,1.77,0.0,-0.34,LOW_HAND_RATE,train__DRINK__P29__9957580073891368-DRINK.npz
aslcitizen,EAT,P42,4641646458517976-EAT,69,10,0.145,2.27,0.0,-1.26,LOW_HAND_RATE,test__EAT__P42__4641646458517976-EAT.npz
aslcitizen,WHY,P18,32965084799922706-WHY,60,9,0.15,2.4,0.0,-0.87,LOW_HAND_RATE,test__WHY__P18__32965084799922706-WHY.npz
aslcitizen,EAT,P52,36220708618174635-seedEAT,145,22,0.152,4.83,0.0,-0.54,LOW_HAND_RATE,train__EAT__P52__36220708618174635-seedEAT.npz
aslcitizen,THANKYOU,P18,9962081495357855-THANK YOU,59,9,0.153,2.36,0.0,-0.66,LOW_HAND_RATE,test__THANKYOU__P18__9962081495357855-THANK YOU.npz
aslcitizen,WATER,P39,03174577769237463-WATER,176,27,0.153,5.87,0.0,-0.05,LOW_HAND_RATE,val__WATER__P39__03174577769237463-WATER.npz
aslcitizen,STOP,P50,35024304836544506-STOP,69,11,0.159,2.3,0.0,-0.3,LOW_HAND_RATE,train__STOP__P50__35024304836544506-STOP.npz
aslcitizen,WATER,P52,4617924298797549-seedWATER,169,28,0.166,5.58,0.0,-0.51,LOW_HAND_RATE,train__WATER__P52__4617924298797549-seedWATER.npz
aslcitizen,WHY,P29,2565336440424879-WHY,48,8,0.167,1.6,0.0,0.25,LOW_HAND_RATE,train__WHY__P29__2565336440424879-WHY.npz
wlasl,WHY,WLASL_42,63280_15,120,20,0.167,4.0,0.0,-0.65,LOW_HAND_RATE,train__WHY__WLASL_42__wlasl_63280_15.npz
aslcitizen,PLEASE,P11,43778843855311433-PLEASE,164,28,0.171,5.48,0.0,-0.44,LOW_HAND_RATE,train__PLEASE__P11__43778843855311433-PLEASE.npz
aslcitizen,STOP,P48,19109474570600948-STOP,87,15,0.172,2.9,0.0,-0.24,LOW_HAND_RATE,test__STOP__P48__19109474570600948-STOP.npz
aslcitizen,EAT,P39,009883456113471967-EAT,156,27,0.173,5.2,0.0,-0.96,LOW_HAND_RATE,val__EAT__P39__009883456113471967-EAT.npz
aslcitizen,HUNGRY,P14,48783810292836627-HUNGRY,63,11,0.175,2.07,0.0,0.18,LOW_HAND_RATE,train__HUNGRY__P14__48783810292836627-HUNGRY.npz
aslcitizen,HELP,P42,23773456898680978-HELP,67,12,0.179,2.23,0.0,0.5,LOW_HAND_RATE,test__HELP__P42__23773456898680978-HELP.npz
aslcitizen,HURT,P42,7701814722271505-HURT,39,7,0.179,1.26,0.0,0.39,LOW_HAND_RATE,test__HURT__P42__7701814722271505-HURT.npz
aslcitizen,WHERE,P52,35445730348954285-seedWHERE,116,21,0.181,3.88,0.0,-0.54,LOW_HAND_RATE,train__WHERE__P52__35445730348954285-seedWHERE.npz
aslcitizen,NAME,P39,9031073980623976-NAME,142,26,0.183,4.74,0.0,0.47,LOW_HAND_RATE,val__NAME__P39__9031073980623976-NAME.npz
aslcitizen,WAIT,P52,9595840152815802-seedWAIT,151,28,0.185,5.03,0.0,-0.41,LOW_HAND_RATE,train__WAIT__P52__9595840152815802-seedWAIT.npz
aslcitizen,WHO,P52,6723858714545425-seedWHO,128,24,0.188,4.27,0.0,0.1,LOW_HAND_RATE,train__WHO__P52__6723858714545425-seedWHO.npz
aslcitizen,WHY,P39,5132756077874947-WHY,122,23,0.189,4.07,0.0,0.27,LOW_HAND_RATE,val__WHY__P39__5132756077874947-WHY.npz
aslcitizen,DEAF,P18,14415908988995363-DEAF,63,12,0.19,2.52,0.0,0.27,LOW_HAND_RATE,test__DEAF__P18__14415908988995363-DEAF.npz
aslcitizen,SICK,P39,45273738498753846-SICK,150,29,0.193,5.0,0.0,-0.12,LOW_HAND_RATE,val__SICK__P39__45273738498753846-SICK.npz
aslcitizen,MORE,P49,7235081979386058-MORE,36,7,0.194,2.4,0.0,0.05,LOW_HAND_RATE,test__MORE__P49__7235081979386058-MORE.npz
aslcitizen,EAT,P52,7090308723893539-seedEAT,124,24,0.194,4.15,0.0,-1.42,LOW_HAND_RATE,train__EAT__P52__7090308723893539-seedEAT.npz
aslcitizen,HUNGRY,P52,7117735182398317-seedHUNGRY,138,27,0.196,4.61,0.0,-0.22,LOW_HAND_RATE,train__HUNGRY__P52__7117735182398317-seedHUNGRY.npz
aslcitizen,NO,P11,6901051427765104-NO,46,9,0.196,1.54,0.0,-0.7,LOW_HAND_RATE,train__NO__P11__6901051427765104-NO.npz
aslcitizen,WHERE,P18,9957868929062672-WHERE,61,12,0.197,2.44,0.0,-0.9,LOW_HAND_RATE,test__WHERE__P18__9957868929062672-WHERE.npz
aslcitizen,WHO,P17,16927688445154376-WHO,71,14,0.197,2.4,0.0,-0.15,LOW_HAND_RATE,test__WHO__P17__16927688445154376-WHO.npz
aslcitizen,SICK,P52,7809273250779392-seedSICK,127,25,0.197,4.25,0.0,0.06,LOW_HAND_RATE,train__SICK__P52__7809273250779392-seedSICK.npz
aslcitizen,HOW,P17,8436415241829844-HOW,85,17,0.2,2.8,0.0,-0.58,LOW_HAND_RATE,test__HOW__P17__8436415241829844-HOW.npz
aslcitizen,DRINK,P52,7985319657788752-seedDRINK,124,25,0.202,4.13,0.0,-0.63,LOW_HAND_RATE,train__DRINK__P52__7985319657788752-seedDRINK.npz
aslcitizen,STOP,P42,680707762189654-STOP,79,16,0.203,2.63,0.0,-0.32,LOW_HAND_RATE,test__STOP__P42__680707762189654-STOP.npz
aslcitizen,WATER,P42,25669396550888335-WATER,69,14,0.203,2.3,0.0,-0.51,LOW_HAND_RATE,test__WATER__P42__25669396550888335-WATER.npz
aslcitizen,BATHROOM,P52,4137936897652219-seedBATHROOM,142,29,0.204,4.75,0.0,-0.34,LOW_HAND_RATE,train__BATHROOM__P52__4137936897652219-seedBATHROOM.npz
aslcitizen,DRINK,P48,6863272868161578-DRINK,73,15,0.205,2.43,0.0,0.14,LOW_HAND_RATE,test__DRINK__P48__6863272868161578-DRINK.npz
aslcitizen,THANKYOU,P6,25130175957831113-THANK YOU,39,8,0.205,1.3,0.0,0.08,LOW_HAND_RATE,test__THANKYOU__P6__25130175957831113-THANK YOU.npz
aslcitizen,DRINK,P14,9140450917748142-DRINK,73,15,0.205,2.44,0.0,-0.44,LOW_HAND_RATE,train__DRINK__P14__9140450917748142-DRINK.npz
aslcitizen,HUNGRY,P33,3850535672895874-HUNGRY,146,30,0.205,4.88,0.0,-0.8,LOW_HAND_RATE,train__HUNGRY__P33__3850535672895874-HUNGRY.npz
aslcitizen,HELLO,P30,7597723277213178-HELLO,170,35,0.206,5.6,0.0,0.28,LOW_HAND_RATE,train__HELLO__P30__7597723277213178-HELLO.npz
aslcitizen,WHAT,P22,6718223980213671-WHAT 2,29,6,0.207,0.97,0.0,-0.14,LOW_HAND_RATE,test__WHAT__P22__6718223980213671-WHAT 2.npz
aslcitizen,WHAT,P14,0628291186114378-WHAT 2,53,11,0.208,1.77,0.0,-0.21,LOW_HAND_RATE,train__WHAT__P14__0628291186114378-WHAT 2.npz
aslcitizen,UNDERSTAND,P52,9807956157005397-seedUNDERSTAND,119,25,0.21,3.97,0.0,0.27,LOW_HAND_RATE,train__UNDERSTAND__P52__9807956157005397-seedUNDERSTAND.npz
aslcitizen,HURT,P52,04508175700479922-seedHURT,142,30,0.211,4.69,0.0,-1.06,LOW_HAND_RATE,train__HURT__P52__04508175700479922-seedHURT.npz
aslcitizen,HUNGRY,P22,2394165119190521-HUNGRY,33,7,0.212,1.1,0.0,0.09,LOW_HAND_RATE,test__HUNGRY__P22__2394165119190521-HUNGRY.npz
aslcitizen,HUNGRY,P17,5801976577083523-HUNGRY,60,13,0.217,2.18,0.0,-0.16,LOW_HAND_RATE,test__HUNGRY__P17__5801976577083523-HUNGRY.npz
aslcitizen,EAT,P42,7910128481289247-EAT,73,16,0.219,2.39,0.0,-0.24,LOW_HAND_RATE,test__EAT__P42__7910128481289247-EAT.npz
aslcitizen,DEAF,P52,14313239983235881-seedDEAF,114,25,0.219,3.8,0.0,-0.42,LOW_HAND_RATE,train__DEAF__P52__14313239983235881-seedDEAF.npz
aslcitizen,HELLO,P42,9441415075906014-HELLO,41,9,0.22,1.34,0.0,-0.75,LOW_HAND_RATE,test__HELLO__P42__9441415075906014-HELLO.npz
aslcitizen,HELLO,P41,25802117645943423-HELLO,100,22,0.22,3.34,0.0,0.33,LOW_HAND_RATE,train__HELLO__P41__25802117645943423-HELLO.npz
aslcitizen,WHERE,P29,5985508360496106-WHERE,41,9,0.22,1.37,0.0,-0.99,LOW_HAND_RATE,train__WHERE__P29__5985508360496106-WHERE.npz
aslcitizen,DRINK,P18,6657698379837473-DRINK,68,15,0.221,2.72,0.0,-0.3,LOW_HAND_RATE,test__DRINK__P18__6657698379837473-DRINK.npz
aslcitizen,DRINK,P31,0992010599048676-DRINK 2,77,17,0.221,2.57,0.0,-0.38,LOW_HAND_RATE,train__DRINK__P31__0992010599048676-DRINK 2.npz
aslcitizen,YES,P33,050364485120873326-YES,265,59,0.223,8.86,0.019,0.16,LOW_HAND_RATE,train__YES__P33__050364485120873326-YES.npz
aslcitizen,WHAT,P14,8444961450629924-WHAT 1,58,13,0.224,1.94,0.0,-0.26,LOW_HAND_RATE,train__WHAT__P14__8444961450629924-WHAT 1.npz
aslcitizen,DRINK,P38,27103389535111955-DRINK 2,80,18,0.225,4.8,0.0,-0.7,LOW_HAND_RATE,train__DRINK__P38__27103389535111955-DRINK 2.npz
aslcitizen,NAME,P52,03294491784477094-seedNAME,150,34,0.227,5.0,0.0,2.33,LOW_HAND_RATE,train__NAME__P52__03294491784477094-seedNAME.npz
wlasl,YES,WLASL_47,64296_12,119,27,0.227,3.97,0.0,0.2,LOW_HAND_RATE,train__YES__WLASL_47__wlasl_64296_12.npz
aslcitizen,MORE,P52,7570971556194199-seedMORE,123,28,0.228,4.08,0.0,-0.06,LOW_HAND_RATE,train__MORE__P52__7570971556194199-seedMORE.npz
aslcitizen,WHY,P51,3866568461228612-WHY,79,18,0.228,2.63,0.0,-0.41,LOW_HAND_RATE,train__WHY__P51__3866568461228612-WHY.npz
aslcitizen,PAIN,P52,22435635173558466-seedPAIN,122,28,0.23,4.07,0.0,2.17,LOW_HAND_RATE,train__PAIN__P52__22435635173558466-seedPAIN.npz
